,Unnamed: 0,label,predicate,org_label
57,285,costum designer,http://www.wikidata.org/prop/direct/P2515,costume designer
57,285,costume design,http://www.wikidata.org/prop/direct/P2515,costume designer
57,285,costume designer,http://www.wikidata.org/prop/direct/P2515,costume designer
49,242,countri,http://www.wikidata.org/prop/direct/P17,country
170,6327,countri for sport,http://www.wikidata.org/prop/direct/P1532,country for sport
13,17,countri of citizenship,http://www.wikidata.org/prop/direct/P27,country of citizenship
50,250,countri of origin,http://www.wikidata.org/prop/direct/P495,country of origin
49,242,country,http://www.wikidata.org/prop/direct/P17,country
170,6327,country for sport,http://www.wikidata.org/prop/direct/P1532,country for sport
13,17,country of citizenship,http://www.wikidata.org/prop/direct/P27,country of citizenship
50,250,country of origin,http://www.wikidata.org/prop/direct/P495,country of origin
63,341,creat,http://www.wikidata.org/prop/direct/P170,creator
63,341,creator,http://www.wikidata.org/prop/direct/P170,creator
217,28233,crew member ( s ),http://www.wikidata.org/prop/direct/P1029,crew member(s)
217,28233,crew member(s),http://www.wikidata.org/prop/direct/P1029,crew member(s)
239,72769,dedic to,http://www.wikidata.org/prop/direct/P825,dedicated to
239,72769,dedicated to,http://www.wikidata.org/prop/direct/P825,dedicated to
134,2893,depart of,http://www.wikidata.org/prop/direct/P361,part of
126,2390,depart of the series,http://www.wikidata.org/prop/direct/P179,part of the series
162,5307,depict,http://www.wikidata.org/prop/direct/P180,depicts
192,9395,depict by,http://www.wikidata.org/prop/direct/P1299,depicted by
192,9395,depicted by,http://www.wikidata.org/prop/direct/P1299,depicted by
162,5307,depicts,http://www.wikidata.org/prop/direct/P180,depicts
71,396,deriv work,http://www.wikidata.org/prop/direct/P4969,derivative work
71,396,derivative form,http://www.wikidata.org/prop/direct/P4969,derivative work
71,396,derivative work,http://www.wikidata.org/prop/direct/P4969,derivative work
71,396,derivative worker,http://www.wikidata.org/prop/direct/P4969,derivative work
12,15,describ by sourc,http://www.wikidata.org/prop/direct/P1343,described by source
12,15,described by sourc,http://www.wikidata.org/prop/direct/P1343,described by source
12,15,described by source,http://www.wikidata.org/prop/direct/P1343,described by source
250,117129,design by,http://www.wikidata.org/prop/direct/P287,designed by
250,117129,designed by,http://www.wikidata.org/prop/direct/P287,designed by
70,392,develop,http://www.wikidata.org/prop/direct/P178,developer
70,392,developer,http://www.wikidata.org/prop/direct/P178,developer
29,63,differ from,http://www.wikidata.org/prop/direct/P1889,different from
29,63,different from,http://www.wikidata.org/prop/direct/P1889,different from
58,289,diplomaci relation,http://www.wikidata.org/prop/direct/P530,diplomatic relation
58,289,diplomaciic relation,http://www.wikidata.org/prop/direct/P530,diplomatic relation
58,289,diplomat relat,http://www.wikidata.org/prop/direct/P530,diplomatic relation
58,289,diplomat relation,http://www.wikidata.org/prop/direct/P530,diplomatic relation
58,289,diplomatic relation,http://www.wikidata.org/prop/direct/P530,diplomatic relation
30,65,direct,http://www.wikidata.org/prop/direct/P57,director
225,37765,direct / manager,http://www.wikidata.org/prop/direct/P1037,director / manager
2,2,direct of photography,http://www.wikidata.org/prop/direct/P344,director of photography
30,65,director,http://www.wikidata.org/prop/direct/P57,director
225,37765,director / manag,http://www.wikidata.org/prop/direct/P1037,director / manager
225,37765,director / manager,http://www.wikidata.org/prop/direct/P1037,director / manager
225,37765,director / manageri,http://www.wikidata.org/prop/direct/P1037,director / manager
2,2,director of photograph,http://www.wikidata.org/prop/direct/P344,director of photography
2,2,director of photographi,http://www.wikidata.org/prop/direct/P344,director of photography
2,2,director of photography,http://www.wikidata.org/prop/direct/P344,director of photography
25,52,distribut by,http://www.wikidata.org/prop/direct/P750,distributed by
21,35,distribut format,http://www.wikidata.org/prop/direct/P437,distribution format
25,52,distributed by,http://www.wikidata.org/prop/direct/P750,distributed by
21,35,distribution format,http://www.wikidata.org/prop/direct/P437,distribution format
25,52,distributor by,http://www.wikidata.org/prop/direct/P750,distributed by
218,29257,edit or translat of,http://www.wikidata.org/prop/direct/P629,edition or translation of
218,29257,edition or translation of,http://www.wikidata.org/prop/direct/P629,edition or translation of
218,29257,editorion or translation of,http://www.wikidata.org/prop/direct/P629,edition or translation of
87,672,educ at,http://www.wikidata.org/prop/direct/P69,educated at
87,672,educate at,http://www.wikidata.org/prop/direct/P69,educated at
87,672,educated at,http://www.wikidata.org/prop/direct/P69,educated at
105,1408,eirin film rate,http://www.wikidata.org/prop/direct/P2756,EIRIN film rating
77,440,employ,http://www.wikidata.org/prop/direct/P108,employer
77,440,employeer,http://www.wikidata.org/prop/direct/P108,employer
77,440,employer,http://www.wikidata.org/prop/direct/P108,employer
160,5127,enemi of,http://www.wikidata.org/prop/direct/P7047,enemy of
160,5127,enemy of,http://www.wikidata.org/prop/direct/P7047,enemy of
74,421,ethnic group,http://www.wikidata.org/prop/direct/P172,ethnic group
42,177,execut produc,http://www.wikidata.org/prop/direct/P1431,executive producer
42,177,executive produc,http://www.wikidata.org/prop/direct/P1431,executive producer
42,177,executive producer,http://www.wikidata.org/prop/direct/P1431,executive producer
32,86,fabric method,http://www.wikidata.org/prop/direct/P2079,fabrication method
32,86,fabrication method,http://www.wikidata.org/prop/direct/P2079,fabrication method
139,3360,facet of,http://www.wikidata.org/prop/direct/P1269,facet of
113,1694,father,http://www.wikidata.org/prop/direct/P22,father
147,4426,father,http://www.wikidata.org/prop/direct/P25,mother
107,1469,fiction univers describ in,http://www.wikidata.org/prop/direct/P1445,fictional universe described in
107,1469,fiction universe described in,http://www.wikidata.org/prop/direct/P1445,fictional universe described in
107,1469,fictional univers described in,http://www.wikidata.org/prop/direct/P1445,fictional universe described in
107,1469,fictional universe described in,http://www.wikidata.org/prop/direct/P1445,fictional universe described in
107,1469,fictional universe described inch,http://www.wikidata.org/prop/direct/P1445,fictional universe described in
107,1469,fictitial universe described in,http://www.wikidata.org/prop/direct/P1445,fictional universe described in
116,1775,field of form,http://www.wikidata.org/prop/direct/P101,field of work
168,5976,field of thi occup,http://www.wikidata.org/prop/direct/P425,field of this occupation
168,5976,field of this occupation,http://www.wikidata.org/prop/direct/P425,field of this occupation
116,1775,field of work,http://www.wikidata.org/prop/direct/P101,field of work
116,1775,field of worker,http://www.wikidata.org/prop/direct/P101,field of work
168,5976,fielder of this occupation,http://www.wikidata.org/prop/direct/P425,field of this occupation
116,1775,fielder of work,http://www.wikidata.org/prop/direct/P101,field of work
120,1864,film crew member,http://www.wikidata.org/prop/direct/P3092,film crew member
15,20,film edit,http://www.wikidata.org/prop/direct/P1040,film editor
15,20,film editor,http://www.wikidata.org/prop/direct/P1040,film editor
15,20,film editori,http://www.wikidata.org/prop/direct/P1040,film editor
37,122,film locat,http://www.wikidata.org/prop/direct/P915,filming location
120,1864,filmi crew member,http://www.wikidata.org/prop/direct/P3092,film crew member
15,20,filmi editor,http://www.wikidata.org/prop/direct/P1040,film editor
37,122,filmiing location,http://www.wikidata.org/prop/direct/P915,filming location
37,122,filming location,http://www.wikidata.org/prop/direct/P915,filming location
27,59,filmiroda rate,http://www.wikidata.org/prop/direct/P2747,Filmiroda rating
73,402,finded by,http://www.wikidata.org/prop/direct/P112,founded by
173,6381,first apparance,http://www.wikidata.org/prop/direct/P4584,first appearance
173,6381,first appear,http://www.wikidata.org/prop/direct/P4584,first appearance
173,6381,first appearance,http://www.wikidata.org/prop/direct/P4584,first appearance
194,10502,fit during recurring event,http://www.wikidata.org/prop/direct/P9215,set during recurring event
201,13020,fit in environment,http://www.wikidata.org/prop/direct/P8411,set in environment
121,2010,fit in period,http://www.wikidata.org/prop/direct/P2408,set in period
81,556,follow,http://www.wikidata.org/prop/direct/P155,follows
45,214,follow by,http://www.wikidata.org/prop/direct/P156,followed by
45,214,followed by,http://www.wikidata.org/prop/direct/P156,followed by
81,556,follows,http://www.wikidata.org/prop/direct/P155,follows
47,222,form location,http://www.wikidata.org/prop/direct/P937,work location
163,5480,form of creativ work,http://www.wikidata.org/prop/direct/P7937,form of creative work
163,5480,form of creative form,http://www.wikidata.org/prop/direct/P7937,form of creative work
163,5480,form of creative work,http://www.wikidata.org/prop/direct/P7937,form of creative work
163,5480,form of creative worker,http://www.wikidata.org/prop/direct/P7937,form of creative work
163,5480,format of creative work,http://www.wikidata.org/prop/direct/P7937,form of creative work
73,402,found by,http://www.wikidata.org/prop/direct/P112,founded by
73,402,foundat by,http://www.wikidata.org/prop/direct/P112,founded by
73,402,foundated by,http://www.wikidata.org/prop/direct/P112,founded by
73,402,founded by,http://www.wikidata.org/prop/direct/P112,founded by
73,402,founder by,http://www.wikidata.org/prop/direct/P112,founded by
73,402,foundered by,http://www.wikidata.org/prop/direct/P112,founded by
171,6333,fpb rate,http://www.wikidata.org/prop/direct/P4437,FPB rating
62,339,from narr univers,http://www.wikidata.org/prop/direct/P1080,from narrative universe
62,339,from narrative univers,http://www.wikidata.org/prop/direct/P1080,from narrative universe
62,339,from narrative universe,http://www.wikidata.org/prop/direct/P1080,from narrative universe
36,112,fsk film rate,http://www.wikidata.org/prop/direct/P1981,FSK film rating
0,0,genr,http://www.wikidata.org/prop/direct/P136,genre
0,0,genre,http://www.wikidata.org/prop/direct/P136,genre
130,2667,give name,http://www.wikidata.org/prop/direct/P735,given name
130,2667,given name,http://www.wikidata.org/prop/direct/P735,given name
130,2667,given namer,http://www.wikidata.org/prop/direct/P735,given name
130,2667,giver name,http://www.wikidata.org/prop/direct/P735,given name
73,402,grounded by,http://www.wikidata.org/prop/direct/P112,founded by
220,29847,ha caus,http://www.wikidata.org/prop/direct/P828,has cause
231,52651,ha edit or translat,http://www.wikidata.org/prop/direct/P747,has edition or translation
177,6657,ha effect,http://www.wikidata.org/prop/direct/P1542,has effect
40,147,ha part,http://www.wikidata.org/prop/direct/P527,has part
238,71095,ha pet,http://www.wikidata.org/prop/direct/P1429,has pet
51,253,ha qualiti,http://www.wikidata.org/prop/direct/P1552,has quality
148,4446,ha work in the collect,http://www.wikidata.org/prop/direct/P6379,has works in the collection
220,29847,has caus,http://www.wikidata.org/prop/direct/P828,has cause
220,29847,has causal,http://www.wikidata.org/prop/direct/P828,has cause
220,29847,has causat,http://www.wikidata.org/prop/direct/P828,has cause
220,29847,has cause,http://www.wikidata.org/prop/direct/P828,has cause
40,147,has depart,http://www.wikidata.org/prop/direct/P527,has part
231,52651,has edition or translation,http://www.wikidata.org/prop/direct/P747,has edition or translation
231,52651,has editorion or translation,http://www.wikidata.org/prop/direct/P747,has edition or translation
177,6657,has effect,http://www.wikidata.org/prop/direct/P1542,has effect
177,6657,has effector,http://www.wikidata.org/prop/direct/P1542,has effect
177,6657,has effectu,http://www.wikidata.org/prop/direct/P1542,has effect
148,4446,has forms in the collection,http://www.wikidata.org/prop/direct/P6379,has works in the collection
40,147,has part,http://www.wikidata.org/prop/direct/P527,has part
40,147,has partit,http://www.wikidata.org/prop/direct/P527,has part
238,71095,has pet,http://www.wikidata.org/prop/direct/P1429,has pet
51,253,has qualifi,http://www.wikidata.org/prop/direct/P1552,has quality
51,253,has quality,http://www.wikidata.org/prop/direct/P1552,has quality
148,4446,has work in the collection,http://www.wikidata.org/prop/direct/P6379,has works in the collection
148,4446,has worker in the collection,http://www.wikidata.org/prop/direct/P6379,has works in the collection
148,4446,has workers in the collection,http://www.wikidata.org/prop/direct/P6379,has works in the collection
148,4446,has works in the collection,http://www.wikidata.org/prop/direct/P6379,has works in the collection
148,4446,has works in the collectorion,http://www.wikidata.org/prop/direct/P6379,has works in the collection
148,4446,has works inch the collection,http://www.wikidata.org/prop/direct/P6379,has works in the collection
220,29847,have cause,http://www.wikidata.org/prop/direct/P828,has cause
231,52651,have edition or translation,http://www.wikidata.org/prop/direct/P747,has edition or translation
177,6657,have effect,http://www.wikidata.org/prop/direct/P1542,has effect
40,147,have part,http://www.wikidata.org/prop/direct/P527,has part
238,71095,have pet,http://www.wikidata.org/prop/direct/P1429,has pet
51,253,have quality,http://www.wikidata.org/prop/direct/P1552,has quality
148,4446,have works in the collection,http://www.wikidata.org/prop/direct/P6379,has works in the collection
226,38444,head of govern,http://www.wikidata.org/prop/direct/P6,head of government
226,38444,head of government,http://www.wikidata.org/prop/direct/P6,head of government
226,38444,head of governorment,http://www.wikidata.org/prop/direct/P6,head of government
229,47625,head of state,http://www.wikidata.org/prop/direct/P35,head of state
226,38444,header of government,http://www.wikidata.org/prop/direct/P6,head of government
229,47625,header of state,http://www.wikidata.org/prop/direct/P35,head of state
226,38444,headi of government,http://www.wikidata.org/prop/direct/P6,head of government
229,47625,headi of state,http://www.wikidata.org/prop/direct/P35,head of state
102,1000,headquart locat,http://www.wikidata.org/prop/direct/P159,headquarters location
102,1000,headquarters location,http://www.wikidata.org/prop/direct/P159,headquarters location
222,30198,health special,http://www.wikidata.org/prop/direct/P1995,health specialty
222,30198,health specialis,http://www.wikidata.org/prop/direct/P1995,health specialty
222,30198,health specialti,http://www.wikidata.org/prop/direct/P1995,health specialty
222,30198,health specialty,http://www.wikidata.org/prop/direct/P1995,health specialty
222,30198,healthi specialty,http://www.wikidata.org/prop/direct/P1995,health specialty
143,3887,histor counti,http://www.wikidata.org/prop/direct/P7959,historic county
143,3887,histori county,http://www.wikidata.org/prop/direct/P7959,historic county
143,3887,historic county,http://www.wikidata.org/prop/direct/P7959,historic county
155,4857,home world,http://www.wikidata.org/prop/direct/P1165,home world
155,4857,homey world,http://www.wikidata.org/prop/direct/P1165,home world
155,4857,homi world,http://www.wikidata.org/prop/direct/P1165,home world
96,897,hong kong film rate,http://www.wikidata.org/prop/direct/P8874,Hong Kong film rating
28,62,icaa rate,http://www.wikidata.org/prop/direct/P3306,ICAA rating
95,870,ifco rate,http://www.wikidata.org/prop/direct/P7573,IFCO rating
119,1833,igac rate,http://www.wikidata.org/prop/direct/P5150,IGAC rating
6,8,imag,http://www.wikidata.org/prop/direct/P18,image
6,8,image,http://www.wikidata.org/prop/direct/P18,image
6,8,imageri,http://www.wikidata.org/prop/direct/P18,image
114,1705,imda rate,http://www.wikidata.org/prop/direct/P5201,IMDA rating
8,10,imdb id,http://www.wikidata.org/prop/direct/P345,IMDb ID
109,1591,incaa film rate,http://www.wikidata.org/prop/direct/P3428,INCAA film rating
178,7064,inchterested inch,http://www.wikidata.org/prop/direct/P2650,interested in
182,7886,indigen to,http://www.wikidata.org/prop/direct/P2341,indigenous to
182,7886,indigenous to,http://www.wikidata.org/prop/direct/P2341,indigenous to
125,2331,industri,http://www.wikidata.org/prop/direct/P452,industry
125,2331,industry,http://www.wikidata.org/prop/direct/P452,industry
144,3893,influenc by,http://www.wikidata.org/prop/direct/P737,influenced by
144,3893,influenced by,http://www.wikidata.org/prop/direct/P737,influenced by
249,103458,input method,http://www.wikidata.org/prop/direct/P479,input method
179,7312,inspir by,http://www.wikidata.org/prop/direct/P941,inspired by
179,7312,inspired by,http://www.wikidata.org/prop/direct/P941,inspired by
