,Unnamed: 0,label,predicate
236,67740,confere by,http://www.wikidata.org/prop/direct/P1027
236,67740,conferered by,http://www.wikidata.org/prop/direct/P1027
236,67740,conferr by,http://www.wikidata.org/prop/direct/P1027
236,67740,conferred by,http://www.wikidata.org/prop/direct/P1027
236,67740,conferrred by,http://www.wikidata.org/prop/direct/P1027
92,793,conflict,http://www.wikidata.org/prop/direct/P607
136,3185,contain administr territori entiti,http://www.wikidata.org/prop/direct/P150
136,3185,contain administrative territorial entity,http://www.wikidata.org/prop/direct/P150
136,3185,contains administrative territori entity,http://www.wikidata.org/prop/direct/P150
136,3185,contains administrative territorial entity,http://www.wikidata.org/prop/direct/P150
198,11293,contin,http://www.wikidata.org/prop/direct/P30
136,3185,contin administrative territorial entity,http://www.wikidata.org/prop/direct/P150
198,11293,continent,http://www.wikidata.org/prop/direct/P30
136,3185,contins administrative territorial entity,http://www.wikidata.org/prop/direct/P150
124,2218,contribut to the creative work or subject,http://www.wikidata.org/prop/direct/P767
124,2218,contributor to the creativ work or subject,http://www.wikidata.org/prop/direct/P767
124,2218,contributor to the creative form or subject,http://www.wikidata.org/prop/direct/P767
124,2218,contributor to the creative work or subject,http://www.wikidata.org/prop/direct/P767
124,2218,contributor to the creative worker or subject,http://www.wikidata.org/prop/direct/P767
210,19526,convict of,http://www.wikidata.org/prop/direct/P1399
210,19526,convicted of,http://www.wikidata.org/prop/direct/P1399
211,19594,copyright hold,http://www.wikidata.org/prop/direct/P3931
211,19594,copyright holder,http://www.wikidata.org/prop/direct/P3931
234,58694,copyright licenc,http://www.wikidata.org/prop/direct/P275
234,58694,copyright licens,http://www.wikidata.org/prop/direct/P275
234,58694,copyright license,http://www.wikidata.org/prop/direct/P275
234,58694,copyright licenti,http://www.wikidata.org/prop/direct/P275
213,20844,copyright repres,http://www.wikidata.org/prop/direct/P6275
213,20844,copyright representative,http://www.wikidata.org/prop/direct/P6275
46,215,copyright statu,http://www.wikidata.org/prop/direct/P6216
46,215,copyright status,http://www.wikidata.org/prop/direct/P6216
57,285,costum design,http://www.wikidata.org/prop/direct/P2515
57,285,costum designer,http://www.wikidata.org/prop/direct/P2515
57,285,costume design,http://www.wikidata.org/prop/direct/P2515
57,285,costume designer,http://www.wikidata.org/prop/direct/P2515
49,242,countri,http://www.wikidata.org/prop/direct/P17
